Date,Open,High,Low,Close,Parsed_Date,Day
05-06-2025,"20,014.30","20,036.80","19,739.00","19,876.50",2025-05-06 00:00:00,Tuesday
05-05-2025,"20,181.50","20,201.80","19,966.00","20,055.50",2025-05-05 00:00:00,Monday
05-02-2025,"19,782.50","20,276.80","19,749.50","20,195.30",2025-05-02 00:00:00,Friday
05-01-2025,"19,834.00","20,125.80","19,757.30","19,870.80",2025-05-01 00:00:00,Thursday
04-30-2025,"19,599.80","19,880.00","19,103.80","19,658.50",2025-04-30 00:00:00,Wednesday
04-29-2025,"19,478.30","19,688.50","19,378.00","19,642.00",2025-04-29 00:00:00,Tuesday
04-28-2025,"19,524.50","19,623.00","19,257.30","19,528.00",2025-04-28 00:00:00,Monday
04-25-2025,"19,405.00","19,589.00","19,216.30","19,535.30",2025-04-25 00:00:00,Friday
04-24-2025,"18,826.50","19,421.00","18,594.80","19,322.00",2025-04-24 00:00:00,Thursday
04-23-2025,"18,646.00","19,165.50","18,623.80","18,804.00",2025-04-23 00:00:00,Wednesday
04-22-2025,"17,914.00","18,514.00","17,863.80","18,385.00",2025-04-22 00:00:00,Tuesday
04-21-2025,"18,306.30","18,383.50","17,700.00","17,922.30",2025-04-21 00:00:00,Monday
04-17-2025,"18,391.30","18,652.80","18,261.50","18,380.80",2025-04-17 00:00:00,Thursday
04-16-2025,"18,790.00","18,861.30","18,116.30","18,385.30",2025-04-16 00:00:00,Wednesday
04-15-2025,"18,902.50","19,144.80","18,809.00","18,960.30",2025-04-15 00:00:00,Tuesday
04-14-2025,"19,225.00","19,256.00","18,737.50","18,934.80",2025-04-14 00:00:00,Monday
04-11-2025,"18,464.80","18,873.50","18,067.00","18,807.50",2025-04-11 00:00:00,Friday
04-10-2025,"19,266.80","19,383.50","17,919.00","18,484.50",2025-04-10 00:00:00,Thursday
04-09-2025,"17,220.30","19,386.80","16,735.00","19,288.80",2025-04-09 00:00:00,Wednesday
04-08-2025,"17,665.00","18,357.30","16,973.50","17,243.80",2025-04-08 00:00:00,Tuesday
04-07-2025,"17,100.00","18,207.00","16,460.00","17,563.30",2025-04-07 00:00:00,Monday
04-04-2025,"18,660.00","18,713.00","17,387.50","17,539.00",2025-04-04 00:00:00,Friday
04-03-2025,"19,020.00","19,177.00","18,614.00","18,675.50",2025-04-03 00:00:00,Thursday
04-02-2025,"19,600.50","20,044.30","19,076.80","19,758.00",2025-04-02 00:00:00,Wednesday
04-01-2025,"19,411.30","19,644.00","19,261.30","19,604.50",2025-04-01 00:00:00,Tuesday
